"LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2"
"Rpl18a" 53 14 13 36 16 17 34 25 44 22 25 29 54 13 55 31 26 38 22 34 109 64 16 31 13 35 23 24 48 25 22 27 13 17 30 19 37 8 31 34 44 30 101 24 36 39 18 32 18
"Rpl13" 32 12 9 34 19 25 31 9 46 24 31 24 54 15 53 15 42 25 21 29 159 83 21 37 15 25 25 17 72 32 23 22 18 28 35 21 15 10 26 19 41 20 81 23 28 16 11 28 19
"Rpl21-ps4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0
"Rpl15" 5 4 4 4 4 8 6 4 7 9 14 0 15 1 7 5 5 9 6 9 48 19 5 9 2 8 5 5 7 5 7 3 2 10 2 2 1 1 6 3 4 4 15 11 9 6 1 6 3
"Rpl23a-ps3" 6 4 1 13 1 10 8 8 19 8 11 7 19 10 24 8 12 15 11 12 38 24 10 19 8 11 9 10 15 11 17 12 5 9 13 10 8 4 16 9 12 5 22 16 11 4 1 19 7
"Rpl13-ps3" 1 0 1 2 0 1 3 2 4 1 3 3 6 2 7 0 3 3 1 4 11 8 1 4 0 4 3 2 4 5 3 2 3 2 0 3 1 2 5 0 3 2 6 2 2 1 2 0 0
"Rpl10-ps3" 3 2 2 5 3 5 4 1 7 10 12 3 8 3 8 1 4 8 5 6 29 13 5 5 2 1 5 9 12 4 6 3 0 12 6 3 5 0 9 1 8 6 14 2 8 3 1 2 7
"Rplp1" 18 5 15 20 12 18 23 6 34 15 14 15 43 8 21 8 24 31 14 17 153 31 8 12 16 10 23 8 44 27 23 17 12 22 14 17 10 4 22 9 27 14 52 17 19 8 9 13 29
"Rpl4" 15 3 11 14 4 11 12 7 41 9 10 7 26 6 23 11 11 14 7 16 78 38 13 19 6 10 18 33 20 17 17 10 15 15 4 5 18 10 8 16 22 3 35 15 21 10 2 14 13
"Rpl29" 9 6 1 2 4 9 14 2 15 11 3 12 17 12 5 8 5 11 11 12 60 14 21 9 3 2 3 9 10 10 10 9 8 15 5 3 4 2 7 5 12 3 14 5 12 4 3 14 6
"Rpl14" 5 3 8 16 6 17 15 4 30 11 18 12 22 10 14 13 19 8 17 23 102 27 13 13 12 19 17 14 32 21 18 9 12 15 13 11 13 5 14 13 27 13 25 10 19 8 5 9 8
"Rpl26" 18 6 3 15 4 9 16 5 19 8 15 7 24 13 17 9 7 21 11 21 98 44 7 12 7 9 3 10 32 13 13 14 5 15 13 5 13 8 8 7 19 12 40 16 16 5 0 17 15
"Rpl23a" 12 7 4 24 8 18 14 16 32 13 19 12 22 11 34 12 17 21 16 24 75 43 13 28 10 15 17 12 28 16 27 13 8 20 21 14 12 7 23 14 22 7 40 21 25 12 1 29 16
"Rpl9-ps1" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Rpl23" 14 5 6 18 14 14 14 12 18 14 17 10 34 9 24 13 17 17 8 16 96 37 12 27 9 16 10 17 38 23 17 13 4 12 16 10 13 7 15 18 13 16 37 18 18 8 4 21 12
"Rpl19" 18 7 18 21 8 25 26 10 33 24 18 19 16 5 30 11 17 26 22 29 91 24 21 22 10 9 19 15 37 21 27 19 9 16 16 16 17 10 15 24 23 13 33 26 27 10 5 23 19
"Rpl27" 7 1 4 6 11 11 11 9 16 10 11 12 17 3 15 9 9 12 3 16 58 20 7 11 4 8 6 6 12 14 11 8 5 8 11 4 12 12 10 13 11 9 18 10 17 12 1 9 10
"Rpl38" 17 6 7 27 7 16 16 11 30 12 20 14 23 7 27 10 22 12 12 13 99 39 9 19 18 18 12 17 29 21 19 11 7 7 27 10 12 13 24 10 22 8 38 18 24 8 14 15 12
"Rpl36-ps3" 1 0 0 3 1 2 0 1 2 1 2 1 2 0 0 1 1 2 2 0 11 1 4 6 2 0 1 0 2 1 0 0 0 1 1 1 2 0 1 0 2 1 5 1 1 1 3 2 0
"Rpl36al" 2 0 3 3 2 3 4 5 11 1 1 4 11 1 7 8 3 4 7 7 25 10 5 3 1 4 2 10 14 1 6 5 4 8 2 2 5 1 7 2 4 3 9 8 12 2 0 5 3
"Rpl37" 23 11 10 18 12 17 21 17 17 19 14 7 33 4 29 19 19 31 16 30 154 50 13 23 5 25 19 10 39 32 24 9 19 10 23 9 18 8 25 11 18 15 58 16 25 8 5 20 13
"Rpl30" 7 5 5 8 4 11 9 4 7 6 5 7 7 9 9 9 5 11 9 5 41 18 13 6 3 3 8 9 19 16 7 15 12 3 5 3 4 1 11 9 10 4 8 7 18 7 3 13 8
"Rpl7a-ps3" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rpl8" 23 7 14 13 4 13 12 10 29 13 23 9 32 13 19 4 10 24 12 12 88 37 10 19 7 23 8 17 33 20 27 14 13 15 9 6 11 11 14 6 14 14 31 10 23 12 2 22 11
"Rpl3" 26 8 11 13 6 18 12 9 30 21 18 11 29 10 28 8 24 19 18 11 86 54 16 28 9 24 23 21 32 10 32 11 14 13 14 6 12 7 15 12 14 10 49 9 41 9 5 23 11
"Rpl35a" 19 6 9 13 9 10 11 6 23 19 17 9 27 9 22 8 22 22 11 18 113 37 14 13 9 13 9 11 36 20 15 20 9 19 17 9 8 7 13 8 17 9 41 11 17 5 2 18 9
"Rpl24" 16 5 11 11 11 15 10 10 26 18 8 19 14 8 7 16 11 17 15 27 75 17 22 14 8 18 7 16 13 23 16 11 6 11 5 3 14 2 17 13 24 8 25 11 26 12 8 12 8
"Rpl10a" 13 2 14 5 4 12 9 7 17 10 13 4 16 5 9 10 8 12 14 13 74 23 6 9 1 8 12 8 26 9 9 10 6 12 6 5 3 5 8 10 18 10 31 11 16 9 3 17 11
"Rpl7l1" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Rpl36" 14 12 10 17 6 12 9 13 14 14 13 12 17 13 16 15 17 23 13 13 115 37 16 25 10 7 11 13 38 12 16 8 6 8 23 8 12 13 14 10 19 12 26 9 24 11 8 15 11
"Rpl7a-ps5" 1 0 1 4 0 1 1 2 4 3 2 3 4 0 1 1 2 2 0 2 9 4 3 6 2 3 2 3 1 1 4 3 0 1 0 2 0 0 3 1 2 2 1 1 2 0 0 3 1
"Rpl27-ps3" 0 1 1 5 2 6 5 5 7 6 10 9 7 1 5 11 4 9 2 10 35 14 3 10 2 3 3 5 4 8 5 6 2 3 2 7 7 3 10 4 5 1 13 6 11 3 4 2 5
"Rpl17" 39 14 11 19 12 18 26 12 38 24 32 14 31 13 22 18 12 31 17 15 95 45 21 17 14 20 15 14 29 27 20 17 11 22 18 11 21 16 28 18 23 13 43 20 32 15 5 21 17
"Rpl9-ps6" 9 4 4 9 1 5 5 3 13 8 7 6 13 1 16 6 7 10 1 5 41 18 11 6 5 4 5 4 15 11 8 5 3 10 10 3 7 7 9 5 9 5 17 7 4 4 2 7 9
"Rpl13a-ps1" 0 2 0 0 0 1 3 0 6 2 2 0 4 3 0 0 2 0 1 2 4 4 3 3 1 0 3 3 5 0 2 2 0 2 0 1 1 3 2 0 2 1 1 1 2 1 0 1 1
"Rps6kc1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps21" 16 1 5 10 5 7 8 8 12 7 14 3 19 4 16 5 6 10 5 7 73 11 10 9 5 4 8 11 16 10 8 8 2 8 10 6 8 1 11 7 14 10 32 8 7 1 0 12 10
"Rps4x" 27 3 14 22 7 15 6 11 38 17 18 11 38 5 20 10 25 20 14 12 104 44 11 19 15 22 18 16 44 18 13 19 13 15 12 8 12 12 13 19 24 13 36 13 27 10 10 19 12
"Rps6ka3" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps3a1" 22 7 8 14 12 5 14 11 34 19 18 12 34 10 19 8 8 24 13 22 104 47 9 19 10 21 17 16 47 15 29 14 11 24 16 8 8 10 21 11 18 12 49 17 23 10 3 16 7
"Rps27" 69 19 42 50 48 21 70 25 36 33 71 56 44 38 74 40 70 44 21 37 114 60 23 40 34 23 46 40 49 61 38 33 37 25 58 43 40 29 44 44 36 24 80 52 39 31 34 34 33
"Rps20" 25 1 4 7 5 3 9 6 20 6 10 6 23 4 21 3 11 12 8 11 105 36 12 10 10 5 6 8 35 7 15 7 8 13 5 9 5 3 7 2 16 10 27 11 9 3 1 14 9
"Rps6" 18 12 13 26 9 11 12 17 42 17 25 10 34 13 39 9 30 28 15 25 117 40 13 22 15 28 15 24 25 34 23 10 16 19 19 12 18 13 19 18 39 13 60 19 28 10 3 13 16
"Rps8" 11 11 15 11 5 9 14 13 49 18 18 5 37 6 21 5 22 26 23 20 175 54 14 8 6 14 23 15 54 16 24 19 12 14 12 8 8 9 15 6 17 18 49 20 31 6 1 16 15
"Rps6ka1" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 4 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0
"Rps9" 21 7 7 28 9 9 11 4 26 19 16 11 27 9 27 13 25 18 12 19 65 44 12 22 5 12 11 14 31 14 11 5 12 7 25 6 15 7 15 11 21 13 61 17 12 8 5 14 17
"Rps5" 33 13 12 11 15 24 20 8 49 27 22 15 21 5 37 14 16 21 16 24 102 31 18 31 10 18 28 23 47 27 22 9 16 21 15 3 14 5 15 14 30 18 47 25 38 13 3 29 20
"Rps19" 37 5 17 47 13 14 29 11 50 25 46 11 30 14 34 11 20 28 22 26 133 96 18 26 10 18 31 24 65 34 26 10 19 21 18 19 5 11 19 28 38 13 67 30 46 8 7 31 16
"Rps16" 25 7 18 21 16 17 26 14 39 19 27 22 36 19 44 23 24 32 20 23 118 47 16 24 14 25 24 23 38 23 21 14 13 19 16 17 16 12 22 16 26 9 58 21 27 15 11 28 20
